kode,nama_bahan,air,energi,protein,lemak,kh,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,gula,kategori,sumber
AM001,"Beras giling, mentah",12.0,357.0,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,27.0,71.0,0.1,0.5,0.0,0.0,0.0,0.2,0.08,2.6,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM002,"Beras giling var pelita,
mentah",11.4,369.0,9.5,1.4,77.1,0.4,0.6,68.0,171.0,1.4,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM003,"Beras giling var
rojolele, mentah",12.0,357.0,8.4,1.7,77.1,0.2,0.8,147.0,81.0,1.8,34.0,112.9,0.14,0.1,,0.0,80.0,0.2,0.02,1.5,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM004,"Beras hitam, mentah",12.9,351.0,8.0,1.3,76.9,20.1,0.9,6.0,198.0,0.1,15.0,105.0,0.1,1.6,0.0,0.0,0.0,0.21,0.06,0.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM005,"Beras jagung kuning, kering, mentah",10.8,358.0,5.5,0.1,82.7,10.0,0.9,20.0,90.0,1.4,1.0,80.0,0.1,4.1,,641.0,,0.12,0.08,1.0,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM006,"Beras jagung putih,
kering, mentah",22.5,307.0,4.8,0.1,71.8,10.0,0.8,17.0,78.0,1.2,1.0,70.0,0.1,3.5,,301.0,,0.15,0.07,0.9,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM007,"Beras ketan hitam tumbuk, mentah",13.7,360.0,8.0,2.3,74.5,1.0,1.5,10.0,347.0,6.2,11.0,288.0,0.28,2.2,0.0,0.0,0.0,0.24,0.1,2.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM008,"Beras ketan putih
tumbuk, mentah",12.9,361.0,7.4,0.8,78.4,0.4,0.5,13.0,157.0,3.4,3.0,282.0,0.28,2.2,0.0,0.0,0.0,0.28,0.0,1.4,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM009,"Beras ladang, mentah",9.8,376.0,7.5,3.8,78.0,5.9,0.9,20.0,110.0,0.8,10.0,70.0,0.1,1.4,0.0,0.0,,0.2,0.2,5.1,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM010,"Beras menir, mentah",12.0,362.0,7.7,4.4,73.0,0.2,0.2,22.0,272.0,3.7,90.0,201.0,0.1,0.5,0.0,0.0,,0.55,0.0,1.9,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM011,Beras parboiled,10.0,353.0,6.8,0.6,80.0,0.5,2.5,5.0,142.0,0.8,2.0,46.0,0.28,1.0,0.0,0.0,,0.22,0.11,3.4,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM012,"Beras tumbuk, mentah",11.5,354.0,7.8,0.4,79.9,3.8,0.4,3.0,112.0,0.6,5.0,85.0,0.5,1.5,0.0,0.0,,0.25,0.22,5.1,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM013,"Beras tumbuk merah,
mentah",14.6,352.0,7.3,0.9,76.2,0.8,1.0,15.0,257.0,4.2,10.0,202.0,0.36,1.9,0.0,0.0,0.0,0.34,0.0,3.3,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM014,"Cantel, mentah",11.0,366.0,11.0,3.3,73.0,1.2,1.7,28.0,287.0,4.4,7.0,249.0,,,0.0,0.0,,0.09,0.14,2.8,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM015,"Jagung muda, kuning,
mentah",61.8,147.0,5.1,0.7,31.5,1.3,0.9,6.0,122.0,1.1,5.0,33.6,0.13,0.9,0.0,113.0,261.0,0.24,0.1,0.8,9.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM016,"Jagung kuning pipil,
kering, mentah",11.5,366.0,9.8,7.3,69.1,2.2,2.4,30.0,538.0,2.3,5.0,79.4,0.1,4.1,,636.0,641.0,0.12,0.12,1.8,3.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM017,"Jagung pipil var,
harapan, kering",11.3,367.0,6.2,5.1,76.2,2.6,1.2,7.0,354.0,2.8,1.0,79.6,0.1,4.1,,637.0,385.0,0.19,0.08,1.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM018,"Jagung pipil var,
metro, kering",10.6,368.0,5.5,4.6,78.0,2.9,1.3,7.0,300.0,2.4,1.0,80.2,0.1,4.1,,642.0,554.0,0.16,0.08,1.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM019,"Jali, mentah",23.0,324.0,11.0,4.0,61.0,3.1,1.0,213.0,176.0,,24.0,,0.1,0.4,,,,0.14,0.08,1.8,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM020,"Jawawut, mentah",11.9,364.0,9.7,3.5,73.4,8.2,1.5,28.0,311.0,5.3,7.0,255.1,0.45,1.5,,33.0,,0.33,0.28,4.5,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AM021,"Jampang huma,
mentah",11.7,350.0,6.2,1.4,78.2,1.7,2.5,329.0,254.0,5.3,53.0,396.7,0.7,1.6,,33.0,,0.51,0.3,0.7,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO001,Nasi,56.7,180.0,3.0,0.3,39.8,0.2,0.2,25.0,27.0,0.4,1.0,38.0,0.1,0.6,0.0,0.0,,0.05,0.1,2.6,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO002,Nasi tim,71.0,120.0,2.4,0.4,26.0,0.5,0.2,3.0,7.0,0.4,0.0,23.9,0.1,0.4,,0.0,,0.1,0.0,1.4,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO003,"Beras, tapai",75.5,99.0,1.7,0.3,22.4,0.0,0.1,4.0,19.0,0.0,26.0,2.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO004,"Beras, tepung, mentah",12.0,353.0,7.0,0.5,80.0,2.4,0.5,5.0,140.0,0.8,5.0,241.0,0.1,0.8,0.0,0.0,0.0,0.12,0.1,1.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO005,"Beras merah, Nasi",64.0,149.0,2.8,0.4,32.5,0.3,0.3,6.0,63.0,0.8,5.0,91.4,0.2,0.9,0.0,0.0,0.0,0.06,0.0,1.6,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO006,"Bihun, mentah",12.9,348.0,4.7,0.1,82.1,1.2,0.2,6.0,35.0,1.8,12.0,5.0,0.08,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO007,Bihun goreng instan,9.0,381.0,6.1,3.9,80.3,,0.7,266.0,151.0,2.9,928.0,,,,58.0,,400.0,0.37,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
